frame, quadrant, color, entry/exit 
70, 1, Orange, entry
70, 2, White, entry
70, 3, Orange, entry
70, 4, White, entry
71, 1, Orange, entry
71, 2, White, entry
71, 3, Orange, entry
71, 4, White, entry
72, 1, Orange, entry
72, 2, White, entry
72, 3, Orange, entry
72, 4, White, entry
73, 1, Orange, entry
73, 2, White, entry
73, 3, Orange, entry
73, 4, White, entry
74, 1, Orange, entry
74, 2, White, entry
74, 3, Orange, entry
74, 4, White, entry
75, 1, Orange, entry
75, 2, White, entry
75, 3, Orange, entry
75, 4, White, entry
76, 1, Orange, entry
76, 2, White, entry
76, 3, Orange, entry
76, 4, White, entry
77, 1, Orange, entry
77, 2, White, entry
77, 3, Orange, entry
77, 4, White, entry
78, 1, Orange, entry
78, 2, White, entry
78, 3, Orange, entry
78, 4, White, entry
79, 1, Orange, entry
79, 2, White, entry
79, 3, Orange, entry
79, 4, White, entry
80, 1, Orange, entry
80, 2, White, entry
80, 3, Orange, entry
80, 4, White, entry
81, 1, Orange, entry
81, 2, White, entry
81, 3, Orange, entry
81, 4, White, entry
82, 1, Orange, entry
82, 2, White, entry
82, 3, Orange, entry
82, 4, White, entry
83, 1, Orange, entry
83, 2, White, entry
83, 3, Orange, entry
83, 4, White, entry
84, 1, Orange, entry
84, 2, White, entry
84, 3, Orange, entry
84, 4, White, entry
85, 1, Orange, entry
85, 2, White, entry
85, 3, Orange, entry
85, 4, White, entry
86, 1, Orange, entry
86, 2, White, entry
86, 3, Orange, entry
86, 4, White, entry
87, 1, Orange, entry
87, 2, White, entry
87, 3, Orange, entry
87, 4, White, entry
88, 1, Orange, entry
88, 2, White, entry
88, 3, Orange, entry
88, 4, White, entry
89, 1, White, exit
89, 2, White, entry
89, 3, Orange, entry
89, 4, White, entry
90, 1, White, entry
90, 2, None, exit
90, 3, Orange, entry
90, 4, White, entry
91, 1, White, entry
91, 2, White, exit
91, 3, Orange, entry
91, 4, White, entry
92, 1, White, entry
92, 2, None, exit
92, 3, Orange, entry
92, 4, White, entry
93, 1, White, entry
93, 2, None, entry
93, 3, Orange, entry
93, 4, White, entry
94, 1, White, entry
94, 2, None, entry
94, 3, Orange, entry
94, 4, None, exit
95, 1, White, entry
95, 2, None, entry
95, 3, Orange, entry
95, 4, None, entry
96, 1, White, entry
96, 2, None, entry
96, 3, Orange, entry
96, 4, None, entry
97, 1, White, entry
97, 2, None, entry
97, 3, Orange, entry
97, 4, None, entry
98, 1, White, entry
98, 2, None, entry
98, 3, Orange, entry
98, 4, None, entry
99, 1, White, entry
99, 2, None, entry
99, 3, Orange, entry
99, 4, None, entry
100, 1, White, entry
100, 2, None, entry
100, 3, Orange, entry
100, 4, None, entry
101, 1, White, entry
101, 2, None, entry
101, 3, Orange, entry
101, 4, None, entry
102, 1, White, entry
102, 2, None, entry
102, 3, Orange, entry
102, 4, None, entry
103, 1, White, entry
103, 2, None, entry
103, 3, Orange, entry
103, 4, None, entry
104, 1, White, entry
104, 2, None, entry
104, 3, Orange, entry
104, 4, None, entry
105, 1, White, entry
105, 2, None, entry
105, 3, Orange, entry
105, 4, None, entry
106, 1, White, entry
106, 2, None, entry
106, 3, Orange, entry
106, 4, None, entry
107, 1, White, entry
107, 2, None, entry
107, 3, Orange, entry
107, 4, None, entry
108, 1, White, entry
108, 2, None, entry
108, 3, Orange, entry
108, 4, None, entry
109, 1, White, entry
109, 2, None, entry
109, 3, Orange, entry
109, 4, None, entry
110, 1, White, entry
110, 2, None, entry
110, 3, Orange, entry
110, 4, None, entry
111, 1, White, entry
111, 2, None, entry
111, 3, Orange, entry
111, 4, None, entry
112, 1, White, entry
112, 2, None, entry
112, 3, Orange, entry
112, 4, None, entry
113, 1, White, entry
113, 2, None, entry
113, 3, Orange, entry
113, 4, None, entry
114, 1, White, entry
114, 2, None, entry
114, 3, Orange, entry
114, 4, None, entry
115, 1, White, entry
115, 2, None, entry
115, 3, Orange, entry
115, 4, None, entry
116, 1, White, entry
116, 2, None, entry
116, 3, Orange, entry
116, 4, None, entry
117, 1, White, entry
117, 2, None, entry
117, 3, Orange, entry
117, 4, None, entry
118, 1, White, entry
118, 2, None, entry
118, 3, Orange, entry
118, 4, None, entry
119, 1, White, entry
119, 2, None, entry
119, 3, Orange, entry
119, 4, None, entry
120, 1, White, entry
120, 2, None, entry
120, 3, Orange, entry
120, 4, None, entry
121, 1, White, entry
121, 2, None, entry
121, 3, Orange, entry
121, 4, None, entry
122, 1, White, entry
122, 2, None, entry
122, 3, Orange, entry
122, 4, None, entry
123, 1, White, entry
123, 2, None, entry
123, 3, Orange, entry
123, 4, None, entry
124, 1, White, entry
124, 2, None, entry
124, 3, Orange, entry
124, 4, None, entry
125, 1, White, entry
125, 2, None, entry
125, 3, Orange, entry
125, 4, None, entry
126, 1, White, entry
126, 2, None, entry
126, 3, Orange, entry
126, 4, None, entry
127, 1, White, entry
127, 2, None, entry
127, 3, Orange, entry
127, 4, None, entry
128, 1, White, entry
128, 2, None, entry
128, 3, Orange, entry
128, 4, None, entry
129, 1, White, entry
129, 2, None, entry
129, 3, Orange, entry
129, 4, None, entry
130, 1, White, entry
130, 2, None, entry
130, 3, Orange, entry
130, 4, None, entry
131, 1, White, entry
131, 2, None, entry
131, 3, Orange, entry
131, 4, None, entry
132, 1, White, entry
132, 2, None, entry
132, 3, Orange, entry
132, 4, None, entry
133, 1, White, entry
133, 2, White, exit
133, 3, Orange, entry
133, 4, None, entry
134, 1, Orange, exit
134, 2, White, entry
134, 3, Orange, entry
134, 4, None, entry
135, 1, White, exit
135, 2, White, entry
135, 3, Orange, entry
135, 4, None, entry
136, 1, White, entry
136, 2, White, entry
136, 3, Orange, entry
136, 4, None, entry
137, 1, White, entry
137, 2, White, entry
137, 3, Orange, entry
137, 4, None, entry
138, 1, White, entry
138, 2, Orange, exit
138, 3, Orange, entry
138, 4, None, entry
139, 1, White, entry
139, 2, Orange, entry
139, 3, Orange, entry
139, 4, None, entry
140, 1, White, entry
140, 2, Orange, entry
140, 3, Orange, entry
140, 4, None, entry
141, 1, White, entry
141, 2, Orange, entry
141, 3, Orange, entry
141, 4, None, entry
142, 1, White, entry
142, 2, Orange, entry
142, 3, Orange, entry
142, 4, None, entry
143, 1, White, entry
143, 2, Orange, entry
143, 3, Orange, entry
143, 4, None, entry
144, 1, White, entry
144, 2, Orange, entry
144, 3, Orange, entry
144, 4, None, entry
145, 1, White, entry
145, 2, Orange, entry
145, 3, Orange, entry
145, 4, None, entry
146, 1, White, entry
146, 2, Orange, entry
146, 3, Orange, entry
146, 4, None, entry
147, 1, White, entry
147, 2, Orange, entry
147, 3, Orange, entry
147, 4, None, entry
148, 1, White, entry
148, 2, Orange, entry
